Series,Date,Gain,news,Volume
1,1983-09-07,-0.020647,,384854400
1,1983-09-08,-0.0128349999999999,,307059200
1,1983-09-09,-0.0050219999999999,,212688000
1,1983-09-12,0.0,,266313600
1,1983-09-13,0.006138,,204176000
1,1983-09-14,-0.001674,,181529600
1,1983-09-15,-0.006696,,158838400
1,1983-09-16,-0.0033489999999999,,225747200
1,1983-09-19,0.011719,,201980800
1,1983-09-20,0.0005579999999999,,226419200
1,1983-09-21,-0.0027899999999999,,106355200
1,1983-09-22,0.0044639999999999,,144121600
1,1983-09-23,-0.003348,,2832345600
1,1983-09-26,0.0022319999999999,,768768000
1,1983-09-27,-0.0061379999999999,,417110400
1,1983-09-28,-0.00279,,373497600
1,1983-09-29,-0.000558,,282777600
1,1983-09-30,0.0016739999999999,,117868800
1,1983-10-03,0.0,,152902400
